"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"09/27/2019 00:00:00","EDT","CAPITL",61757,834,201,0,33,-127
"09/27/2019 00:00:00","EDT","CENTRL",61754,873,1445,0,99,-1197
"09/27/2019 00:00:00","EDT","DUNWOD",61760,141,209,165,0,-99
"09/27/2019 00:00:00","EDT","GENESE",61753,622,208,0,34,-57
"09/27/2019 00:00:00","EDT","HUD VL",61758,517,146,156,0,-241
"09/27/2019 00:00:00","EDT","LONGIL",61762,402,1445,0,200,-30
"09/27/2019 00:00:00","EDT","MHK VL",61756,387,180,0,26,-62
"09/27/2019 00:00:00","EDT","MILLWD",61759,128,46,28,6,-66
"09/27/2019 00:00:00","EDT","N.Y.C.",61761,2060,1417,1412,63,-55
"09/27/2019 00:00:00","EDT","NORTH",61755,68,333,0,33,-222
"09/27/2019 00:00:00","EDT","WEST",61752,780,591,0,275,-12
"09/27/2019 01:00:00","EDT","CAPITL",61757,813,195,0,39,-91
"09/27/2019 01:00:00","EDT","CENTRL",61754,837,1436,0,92,-1205
"09/27/2019 01:00:00","EDT","DUNWOD",61760,130,195,150,0,-107
"09/27/2019 01:00:00","EDT","GENESE",61753,594,205,0,28,-52
"09/27/2019 01:00:00","EDT","HUD VL",61758,500,142,144,9,-216
"09/27/2019 01:00:00","EDT","LONGIL",61762,277,1444,0,218,-9
"09/27/2019 01:00:00","EDT","MHK VL",61756,370,178,0,19,-62
"09/27/2019 01:00:00","EDT","MILLWD",61759,129,47,27,0,-68
"09/27/2019 01:00:00","EDT","N.Y.C.",61761,1935,1416,1236,75,-50
"09/27/2019 01:00:00","EDT","NORTH",61755,66,333,0,20,-232
"09/27/2019 01:00:00","EDT","WEST",61752,743,589,0,217,-16
"09/27/2019 02:00:00","EDT","CAPITL",61757,789,193,0,39,-93
"09/27/2019 02:00:00","EDT","CENTRL",61754,821,1433,0,101,-1175
