"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"08/06/2019 00:00:00","EDT","CAPITL",61757,1137,103,0,20,-69
"08/06/2019 00:00:00","EDT","CENTRL",61754,1087,1423,0,87,-1155
"08/06/2019 00:00:00","EDT","DUNWOD",61760,189,272,245,5,-51
"08/06/2019 00:00:00","EDT","GENESE",61753,757,236,0,9,-192
"08/06/2019 00:00:00","EDT","HUD VL",61758,729,159,208,14,-193
"08/06/2019 00:00:00","EDT","LONGIL",61762,1016,1452,0,200,-119
"08/06/2019 00:00:00","EDT","MHK VL",61756,465,199,0,18,-68
"08/06/2019 00:00:00","EDT","MILLWD",61759,161,62,42,11,-80
"08/06/2019 00:00:00","EDT","N.Y.C.",61761,2784,1643,2010,213,-4
"08/06/2019 00:00:00","EDT","NORTH",61755,84,342,0,11,-233
"08/06/2019 00:00:00","EDT","WEST",61752,993,620,0,101,-59
"08/06/2019 01:00:00","EDT","CAPITL",61757,1021,148,0,5,-75
"08/06/2019 01:00:00","EDT","CENTRL",61754,1033,1414,0,75,-1148
"08/06/2019 01:00:00","EDT","DUNWOD",61760,180,258,228,0,-61
"08/06/2019 01:00:00","EDT","GENESE",61753,706,226,0,0,-217
"08/06/2019 01:00:00","EDT","HUD VL",61758,689,149,191,5,-187
"08/06/2019 01:00:00","EDT","LONGIL",61762,855,1449,0,220,-98
"08/06/2019 01:00:00","EDT","MHK VL",61756,431,195,0,0,-81
"08/06/2019 01:00:00","EDT","MILLWD",61759,154,57,39,6,-61
"08/06/2019 01:00:00","EDT","N.Y.C.",61761,2690,1610,1831,203,-7
"08/06/2019 01:00:00","EDT","NORTH",61755,80,339,0,0,-224
"08/06/2019 01:00:00","EDT","WEST",61752,915,612,0,168,-59
"08/06/2019 02:00:00","EDT","CAPITL",61757,955,171,0,14,-77
"08/06/2019 02:00:00","EDT","CENTRL",61754,974,1407,0,75,-1153
"08/06/2019 02:00:00","EDT","DUNWOD",61760,179,249,217,0,-52
"08/06/2019 02:00:00","EDT","GENESE",61753,678,223,0,0,-132
"08/06/2019 02:00:00","EDT","HUD VL",61758,660,144,180,0,-187
"08/06/2019 02:00:00","EDT","LONGIL",61762,742,1447,0,220,-118
"08/06/2019 02:00:00","EDT","MHK VL",61756,411,188,0,9,-69
"08/06/2019 02:00:00","EDT","MILLWD",61759,150,55,37,6,-37
"08/06/2019 02:00:00","EDT","N.Y.C.",61761,2626,1586,1726,146,-7
"08/06/2019 02:00:00","EDT","NORTH",61755,78,338,0,11,-217
"08/06/2019 02:00:00","EDT","WEST",61752,882,606,0,68,-47
"08/06/2019 03:00:00","EDT","CAPITL",61757,933,184,0,25,-69
"08/06/2019 03:00:00","EDT","CENTRL",61754,977,1406,0,75,-1157
"08/06/2019 03:00:00","EDT","DUNWOD",61760,172,242,205,5,-49
"08/06/2019 03:00:00","EDT","GENESE",61753,666,227,0,0,-193
"08/06/2019 03:00:00","EDT","HUD VL",61758,642,143,174,32,-180
"08/06/2019 03:00:00","EDT","LONGIL",61762,667,1447,0,216,-34
"08/06/2019 03:00:00","EDT","MHK VL",61756,405,191,0,14,-80
"08/06/2019 03:00:00","EDT","MILLWD",61759,152,53,35,5,-38
"08/06/2019 03:00:00","EDT","N.Y.C.",61761,2584,1596,1613,140,-11
"08/06/2019 03:00:00","EDT","NORTH",61755,76,336,0,11,-208
"08/06/2019 03:00:00","EDT","WEST",61752,860,606,0,65,-30
"08/06/2019 04:00:00","EDT","CAPITL",61757,955,172,0,5,-61
"08/06/2019 04:00:00","EDT","CENTRL",61754,988,1412,0,80,-1157
"08/06/2019 04:00:00","EDT","DUNWOD",61760,170,236,200,5,-60
"08/06/2019 04:00:00","EDT","GENESE",61753,673,227,0,14,-188
"08/06/2019 04:00:00","EDT","HUD VL",61758,640,144,171,18,-182
"08/06/2019 04:00:00","EDT","LONGIL",61762,676,1447,0,207,-30
"08/06/2019 04:00:00","EDT","MHK VL",61756,398,193,0,5,-62
"08/06/2019 04:00:00","EDT","MILLWD",61759,107,54,34,11,-41
