"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"08/12/2019 00:00:00","EDT","CAPITL",61757,937,181,0,18,-100
"08/12/2019 00:00:00","EDT","CENTRL",61754,1010,1402,0,75,-1137
"08/12/2019 00:00:00","EDT","DUNWOD",61760,171,256,211,9,-86
"08/12/2019 00:00:00","EDT","GENESE",61753,707,203,0,0,-112
"08/12/2019 00:00:00","EDT","HUD VL",61758,650,147,185,5,-172
"08/12/2019 00:00:00","EDT","LONGIL",61762,743,1448,0,100,-62
"08/12/2019 00:00:00","EDT","MHK VL",61756,435,175,0,25,-100
"08/12/2019 00:00:00","EDT","MILLWD",61759,147,54,37,9,-71
"08/12/2019 00:00:00","EDT","N.Y.C.",61761,2634,1535,1607,169,-65
"08/12/2019 00:00:00","EDT","NORTH",61755,80,336,0,26,-138
"08/12/2019 00:00:00","EDT","WEST",61752,923,577,0,120,-48
"08/12/2019 01:00:00","EDT","CAPITL",61757,882,179,0,18,-98
"08/12/2019 01:00:00","EDT","CENTRL",61754,971,1399,0,88,-1137
"08/12/2019 01:00:00","EDT","DUNWOD",61760,159,239,195,0,-77
"08/12/2019 01:00:00","EDT","GENESE",61753,661,201,0,7,-61
"08/12/2019 01:00:00","EDT","HUD VL",61758,617,140,170,14,-146
"08/12/2019 01:00:00","EDT","LONGIL",61762,599,1444,0,100,-59
"08/12/2019 01:00:00","EDT","MHK VL",61756,400,173,0,23,-93
"08/12/2019 01:00:00","EDT","MILLWD",61759,147,48,34,0,-69
"08/12/2019 01:00:00","EDT","N.Y.C.",61761,2531,1531,1441,95,-49
"08/12/2019 01:00:00","EDT","NORTH",61755,77,334,0,8,-154
"08/12/2019 01:00:00","EDT","WEST",61752,861,578,0,88,-63
"08/12/2019 02:00:00","EDT","CAPITL",61757,855,180,0,5,-82
"08/12/2019 02:00:00","EDT","CENTRL",61754,917,1392,0,99,-1133
"08/12/2019 02:00:00","EDT","DUNWOD",61760,155,228,185,5,-61
"08/12/2019 02:00:00","EDT","GENESE",61753,636,202,0,30,-59
"08/12/2019 02:00:00","EDT","HUD VL",61758,592,135,161,12,-139
"08/12/2019 02:00:00","EDT","LONGIL",61762,516,1443,0,133,-48
"08/12/2019 02:00:00","EDT","MHK VL",61756,388,169,0,37,-73
"08/12/2019 02:00:00","EDT","MILLWD",61759,143,47,33,5,-53
"08/12/2019 02:00:00","EDT","N.Y.C.",61761,2445,1581,1302,84,-35
"08/12/2019 02:00:00","EDT","NORTH",61755,74,332,0,4,-195
"08/12/2019 02:00:00","EDT","WEST",61752,838,584,0,89,-55
"08/12/2019 03:00:00","EDT","CAPITL",61757,856,182,0,11,-84
"08/12/2019 03:00:00","EDT","CENTRL",61754,923,1390,0,97,-1130
"08/12/2019 03:00:00","EDT","DUNWOD",61760,151,223,176,5,-48
"08/12/2019 03:00:00","EDT","GENESE",61753,631,205,0,25,-106
"08/12/2019 03:00:00","EDT","HUD VL",61758,576,133,156,9,-125
"08/12/2019 03:00:00","EDT","LONGIL",61762,463,1444,0,120,-63
"08/12/2019 03:00:00","EDT","MHK VL",61756,383,172,0,43,-59
"08/12/2019 03:00:00","EDT","MILLWD",61759,143,45,31,7,-40
"08/12/2019 03:00:00","EDT","N.Y.C.",61761,2425,1603,1199,82,-60
"08/12/2019 03:00:00","EDT","NORTH",61755,73,330,0,8,-189
"08/12/2019 03:00:00","EDT","WEST",61752,822,584,0,82,-54
"08/12/2019 04:00:00","EDT","CAPITL",61757,864,184,0,5,-54
"08/12/2019 04:00:00","EDT","CENTRL",61754,937,1400,0,85,-1146
"08/12/2019 04:00:00","EDT","DUNWOD",61760,156,217,172,5,-68
"08/12/2019 04:00:00","EDT","GENESE",61753,638,211,0,10,-132
"08/12/2019 04:00:00","EDT","HUD VL",61758,582,136,153,10,-125
"08/12/2019 04:00:00","EDT","LONGIL",61762,473,1445,0,125,-65
"08/12/2019 04:00:00","EDT","MHK VL",61756,382,174,0,43,-70
"08/12/2019 04:00:00","EDT","MILLWD",61759,101,47,31,5,-24
"08/12/2019 04:00:00","EDT","N.Y.C.",61761,2477,1637,1116,82,-108
"08/12/2019 04:00:00","EDT","NORTH",61755,72,331,0,28,-179
"08/12/2019 04:00:00","EDT","WEST",61752,824,596,0,134,-59
"08/12/2019 05:00:00","EDT","CAPITL",61757,937,173,0,5,-60
"08/12/2019 05:00:00","EDT","CENTRL",61754,974,1427,0,103,-1142
"08/12/2019 05:00:00","EDT","DUNWOD",61760,162,224,180,5,-78
"08/12/2019 05:00:00","EDT","GENESE",61753,673,228,0,7,-126
"08/12/2019 05:00:00","EDT","HUD VL",61758,597,143,155,10,-102
"08/12/2019 05:00:00","EDT","LONGIL",61762,527,1449,0,123,-80
"08/12/2019 05:00:00","EDT","MHK VL",61756,395,190,0,32,-88
"08/12/2019 05:00:00","EDT","MILLWD",61759,94,49,32,5,-33
"08/12/2019 05:00:00","EDT","N.Y.C.",61761,2665,1650,1152,64,-82
"08/12/2019 05:00:00","EDT","NORTH",61755,79,336,0,10,-198
