"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"07/28/2019 00:00:00","EDT","CAPITL",61757,1110,190,0,20,-46
"07/28/2019 00:00:00","EDT","CENTRL",61754,1169,1409,0,90,-1153
"07/28/2019 00:00:00","EDT","DUNWOD",61760,181,264,242,35,-37
"07/28/2019 00:00:00","EDT","GENESE",61753,834,197,0,11,-118
"07/28/2019 00:00:00","EDT","HUD VL",61758,718,149,220,39,-236
"07/28/2019 00:00:00","EDT","LONGIL",61762,985,1447,0,154,-15
"07/28/2019 00:00:00","EDT","MHK VL",61756,468,178,0,51,-74
"07/28/2019 00:00:00","EDT","MILLWD",61759,176,60,40,10,-85
"07/28/2019 00:00:00","EDT","N.Y.C.",61761,2600,1544,1979,210,0
"07/28/2019 00:00:00","EDT","NORTH",61755,84,343,0,0,-172
"07/28/2019 00:00:00","EDT","WEST",61752,965,605,0,143,-32
"07/28/2019 01:00:00","EDT","CAPITL",61757,1039,184,0,38,-46
"07/28/2019 01:00:00","EDT","CENTRL",61754,1101,1399,0,85,-1163
"07/28/2019 01:00:00","EDT","DUNWOD",61760,176,249,223,35,-34
"07/28/2019 01:00:00","EDT","GENESE",61753,774,192,0,10,-118
"07/28/2019 01:00:00","EDT","HUD VL",61758,677,142,200,39,-136
"07/28/2019 01:00:00","EDT","LONGIL",61762,815,1447,0,101,-15
"07/28/2019 01:00:00","EDT","MHK VL",61756,443,174,0,42,-87
"07/28/2019 01:00:00","EDT","MILLWD",61759,169,55,37,10,-35
"07/28/2019 01:00:00","EDT","N.Y.C.",61761,2494,1570,1810,207,-74
"07/28/2019 01:00:00","EDT","NORTH",61755,80,342,0,0,-173
"07/28/2019 01:00:00","EDT","WEST",61752,910,595,0,147,-45
"07/28/2019 02:00:00","EDT","CAPITL",61757,999,181,0,15,-46
"07/28/2019 02:00:00","EDT","CENTRL",61754,1033,1391,0,85,-1164
"07/28/2019 02:00:00","EDT","DUNWOD",61760,166,236,211,35,-42
"07/28/2019 02:00:00","EDT","GENESE",61753,745,188,0,10,-118
"07/28/2019 02:00:00","EDT","HUD VL",61758,641,139,186,14,-125
"07/28/2019 02:00:00","EDT","LONGIL",61762,700,1444,0,101,-32
"07/28/2019 02:00:00","EDT","MHK VL",61756,418,171,0,42,-97
"07/28/2019 02:00:00","EDT","MILLWD",61759,162,53,35,19,-39
"07/28/2019 02:00:00","EDT","N.Y.C.",61761,2380,1601,1685,147,-74
"07/28/2019 02:00:00","EDT","NORTH",61755,79,338,0,0,-180
"07/28/2019 02:00:00","EDT","WEST",61752,868,600,0,127,-47
"07/28/2019 03:00:00","EDT","CAPITL",61757,974,182,0,20,-44
"07/28/2019 03:00:00","EDT","CENTRL",61754,1020,1393,0,85,-1177
"07/28/2019 03:00:00","EDT","DUNWOD",61760,163,226,201,35,-42
"07/28/2019 03:00:00","EDT","GENESE",61753,722,185,0,10,-129
"07/28/2019 03:00:00","EDT","HUD VL",61758,631,137,177,14,-146
"07/28/2019 03:00:00","EDT","LONGIL",61762,635,1444,0,101,-32
"07/28/2019 03:00:00","EDT","MHK VL",61756,405,171,0,42,-92
"07/28/2019 03:00:00","EDT","MILLWD",61759,161,52,34,10,-39
"07/28/2019 03:00:00","EDT","N.Y.C.",61761,2323,1614,1585,129,-74
"07/28/2019 03:00:00","EDT","NORTH",61755,74,337,0,0,-177
"07/28/2019 03:00:00","EDT","WEST",61752,836,585,0,125,-49
"07/28/2019 04:00:00","EDT","CAPITL",61757,968,182,0,20,-32
"07/28/2019 04:00:00","EDT","CENTRL",61754,1024,1392,0,85,-1177
"07/28/2019 04:00:00","EDT","DUNWOD",61760,158,223,195,10,-34
"07/28/2019 04:00:00","EDT","GENESE",61753,710,184,0,11,-129
"07/28/2019 04:00:00","EDT","HUD VL",61758,618,136,171,16,-112
"07/28/2019 04:00:00","EDT","LONGIL",61762,603,1444,0,106,0
"07/28/2019 04:00:00","EDT","MHK VL",61756,395,170,0,42,-92
"07/28/2019 04:00:00","EDT","MILLWD",61759,109,49,32,10,-35
"07/28/2019 04:00:00","EDT","N.Y.C.",61761,2301,1614,1517,104,0
"07/28/2019 04:00:00","EDT","NORTH",61755,75,338,0,0,-186
"07/28/2019 04:00:00","EDT","WEST",61752,831,596,0,171,-48
"07/28/2019 05:00:00","EDT","CAPITL",61757,984,186,0,22,-63
"07/28/2019 05:00:00","EDT","CENTRL",61754,1041,1395,0,85,-1182
"07/28/2019 05:00:00","EDT","DUNWOD",61760,156,221,191,10,-38
"07/28/2019 05:00:00","EDT","GENESE",61753,711,190,0,10,-136
"07/28/2019 05:00:00","EDT","HUD VL",61758,620,138,165,16,-165
"07/28/2019 05:00:00","EDT","LONGIL",61762,584,1444,0,155,0
"07/28/2019 05:00:00","EDT","MHK VL",61756,402,174,0,42,-81
"07/28/2019 05:00:00","EDT","MILLWD",61759,94,47,32,10,-59
"07/28/2019 05:00:00","EDT","N.Y.C.",61761,2340,1596,1493,124,0
"07/28/2019 05:00:00","EDT","NORTH",61755,75,339,0,0,-157
"07/28/2019 05:00:00","EDT","WEST",61752,827,596,0,175,-35
"07/28/2019 06:00:00","EDT","CAPITL",61757,1015,180,0,10,-67
"07/28/2019 06:00:00","EDT","CENTRL",61754,1073,1396,0,145,-1178
"07/28/2019 06:00:00","EDT","DUNWOD",61760,164,222,193,50,-113
"07/28/2019 06:00:00","EDT","GENESE",61753,722,193,0,0,-140
"07/28/2019 06:00:00","EDT","HUD VL",61758,635,139,166,6,-209
"07/28/2019 06:00:00","EDT","LONGIL",61762,606,1445,0,128,0
"07/28/2019 06:00:00","EDT","MHK VL",61756,426,167,0,32,-143
"07/28/2019 06:00:00","EDT","MILLWD",61759,123,47,33,0,-64
"07/28/2019 06:00:00","EDT","N.Y.C.",61761,2389,1627,1506,214,-5
"07/28/2019 06:00:00","EDT","NORTH",61755,77,339,0,1,-160
"07/28/2019 06:00:00","EDT","WEST",61752,833,593,0,169,-32
"07/28/2019 07:00:00","EDT","CAPITL",61757,1107,185,0,10,-116
"07/28/2019 07:00:00","EDT","CENTRL",61754,1157,1408,0,145,-1175
"07/28/2019 07:00:00","EDT","DUNWOD",61760,177,233,197,125,-113
"07/28/2019 07:00:00","EDT","GENESE",61753,784,202,0,0,-139
"07/28/2019 07:00:00","EDT","HUD VL",61758,686,146,169,0,-348
"07/28/2019 07:00:00","EDT","LONGIL",61762,763,1447,0,171,-33
"07/28/2019 07:00:00","EDT","MHK VL",61756,481,178,0,32,-148
"07/28/2019 07:00:00","EDT","MILLWD",61759,163,47,33,0,-64
"07/28/2019 07:00:00","EDT","N.Y.C.",61761,2619,1598,1586,289,-5
"07/28/2019 07:00:00","EDT","NORTH",61755,88,344,0,14,-210
"07/28/2019 07:00:00","EDT","WEST",61752,891,596,0,244,-32
"07/28/2019 08:00:00","EDT","CAPITL",61757,1201,192,0,10,-90
"07/28/2019 08:00:00","EDT","CENTRL",61754,1248,1425,0,145,-1186
"07/28/2019 08:00:00","EDT","DUNWOD",61760,188,251,216,125,-149
"07/28/2019 08:00:00","EDT","GENESE",61753,863,213,0,0,-102
"07/28/2019 08:00:00","EDT","HUD VL",61758,754,153,192,25,-344
"07/28/2019 08:00:00","EDT","LONGIL",61762,1014,1450,0,121,-64
"07/28/2019 08:00:00","EDT","MHK VL",61756,535,189,0,32,-92
"07/28/2019 08:00:00","EDT","MILLWD",61759,195,51,37,0,-101
"07/28/2019 08:00:00","EDT","N.Y.C.",61761,2811,1627,1695,221,-20
"07/28/2019 08:00:00","EDT","NORTH",61755,92,355,0,5,-202
"07/28/2019 08:00:00","EDT","WEST",61752,967,616,0,238,-47
"07/28/2019 09:00:00","EDT","CAPITL",61757,1343,153,0,10,-112
"07/28/2019 09:00:00","EDT","CENTRL",61754,1327,1441,0,145,-1163
"07/28/2019 09:00:00","EDT","DUNWOD",61760,201,266,237,175,-145
"07/28/2019 09:00:00","EDT","GENESE",61753,941,221,0,0,-72
"07/28/2019 09:00:00","EDT","HUD VL",61758,808,164,218,25,-428
"07/28/2019 09:00:00","EDT","LONGIL",61762,1270,1451,0,121,-171
"07/28/2019 09:00:00","EDT","MHK VL",61756,583,199,0,32,-103
"07/28/2019 09:00:00","EDT","MILLWD",61759,224,54,40,0,-107
"07/28/2019 09:00:00","EDT","N.Y.C.",61761,2958,1677,1874,241,-37
"07/28/2019 09:00:00","EDT","NORTH",61755,104,362,0,0,-190
"07/28/2019 09:00:00","EDT","WEST",61752,1042,634,0,252,-47
"07/28/2019 10:00:00","EDT","CAPITL",61757,1471,106,0,65,-120
"07/28/2019 10:00:00","EDT","CENTRL",61754,1406,1451,0,150,-1150
"07/28/2019 10:00:00","EDT","DUNWOD",61760,214,287,260,175,-156
"07/28/2019 10:00:00","EDT","GENESE",61753,998,229,0,5,-98
"07/28/2019 10:00:00","EDT","HUD VL",61758,872,172,245,25,-479
"07/28/2019 10:00:00","EDT","LONGIL",61762,1525,1455,0,141,-61
"07/28/2019 10:00:00","EDT","MHK VL",61756,613,206,0,37,-101
"07/28/2019 10:00:00","EDT","MILLWD",61759,247,58,46,0,-92
"07/28/2019 10:00:00","EDT","N.Y.C.",61761,3078,1696,2064,279,-20
"07/28/2019 10:00:00","EDT","NORTH",61755,112,365,0,0,-204
"07/28/2019 10:00:00","EDT","WEST",61752,1121,654,0,310,-38
"07/28/2019 11:00:00","EDT","CAPITL",61757,1582,59,0,65,-124
"07/28/2019 11:00:00","EDT","CENTRL",61754,1473,1461,0,150,-1130
"07/28/2019 11:00:00","EDT","DUNWOD",61760,222,299,281,180,-158
"07/28/2019 11:00:00","EDT","GENESE",61753,1061,235,0,5,-95
"07/28/2019 11:00:00","EDT","HUD VL",61758,923,180,273,25,-438
"07/28/2019 11:00:00","EDT","LONGIL",61762,1785,1455,0,152,-44
"07/28/2019 11:00:00","EDT","MHK VL",61756,636,212,0,37,-113
"07/28/2019 11:00:00","EDT","MILLWD",61759,233,61,50,9,-70
"07/28/2019 11:00:00","EDT","N.Y.C.",61761,3165,1753,2199,388,-2
"07/28/2019 11:00:00","EDT","NORTH",61755,122,370,0,0,-211
"07/28/2019 11:00:00","EDT","WEST",61752,1193,657,0,341,-40
"07/28/2019 12:00:00","EDT","CAPITL",61757,1639,48,0,24,-130
"07/28/2019 12:00:00","EDT","CENTRL",61754,1517,1468,0,97,-1127
"07/28/2019 12:00:00","EDT","DUNWOD",61760,236,300,297,184,-109
"07/28/2019 12:00:00","EDT","GENESE",61753,1111,237,0,14,-94
"07/28/2019 12:00:00","EDT","HUD VL",61758,978,183,298,25,-499
"07/28/2019 12:00:00","EDT","LONGIL",61762,2059,1457,0,226,-132
"07/28/2019 12:00:00","EDT","MHK VL",61756,654,212,0,40,-107
"07/28/2019 12:00:00","EDT","MILLWD",61759,246,61,54,4,-83
"07/28/2019 12:00:00","EDT","N.Y.C.",61761,3213,1767,2329,339,-70
"07/28/2019 12:00:00","EDT","NORTH",61755,121,371,0,5,-209
"07/28/2019 12:00:00","EDT","WEST",61752,1238,665,0,377,-43
"07/28/2019 13:00:00","EDT","CAPITL",61757,1679,50,0,22,-119
"07/28/2019 13:00:00","EDT","CENTRL",61754,1559,1475,0,166,-1130
"07/28/2019 13:00:00","EDT","DUNWOD",61760,266,293,312,304,-148
"07/28/2019 13:00:00","EDT","GENESE",61753,1143,237,0,14,-66
"07/28/2019 13:00:00","EDT","HUD VL",61758,1031,185,319,18,-444
"07/28/2019 13:00:00","EDT","LONGIL",61762,2332,1459,0,277,-60
"07/28/2019 13:00:00","EDT","MHK VL",61756,672,215,0,40,-121
"07/28/2019 13:00:00","EDT","MILLWD",61759,265,64,58,46,-57
"07/28/2019 13:00:00","EDT","N.Y.C.",61761,3247,1802,2415,469,-46
"07/28/2019 13:00:00","EDT","NORTH",61755,123,370,0,12,-202
"07/28/2019 13:00:00","EDT","WEST",61752,1280,663,0,373,-44
"07/28/2019 14:00:00","EDT","CAPITL",61757,1720,53,0,29,-122
"07/28/2019 14:00:00","EDT","CENTRL",61754,1580,1477,0,166,-1126
"07/28/2019 14:00:00","EDT","DUNWOD",61760,272,288,329,302,-130
"07/28/2019 14:00:00","EDT","GENESE",61753,1169,238,0,21,-89
"07/28/2019 14:00:00","EDT","HUD VL",61758,1078,187,337,63,-491
"07/28/2019 14:00:00","EDT","LONGIL",61762,2490,1462,0,321,-47
"07/28/2019 14:00:00","EDT","MHK VL",61756,684,217,0,52,-127
"07/28/2019 14:00:00","EDT","MILLWD",61759,258,66,61,44,-46
"07/28/2019 14:00:00","EDT","N.Y.C.",61761,3266,1774,2536,518,-26
"07/28/2019 14:00:00","EDT","NORTH",61755,128,368,0,31,-205
