"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"12/05/2019 00:00:00","EST","CAPITL",61757,874,210,0,24,-196
"12/05/2019 00:00:00","EST","CENTRL",61754,1062,1474,0,100,-1222
"12/05/2019 00:00:00","EST","DUNWOD",61760,138,204,168,40,-26
"12/05/2019 00:00:00","EST","GENESE",61753,708,222,0,9,-40
"12/05/2019 00:00:00","EST","HUD VL",61758,626,153,175,59,-100
"12/05/2019 00:00:00","EST","LONGIL",61762,378,1423,0,190,-42
"12/05/2019 00:00:00","EST","MHK VL",61756,440,207,0,21,-76
"12/05/2019 00:00:00","EST","MILLWD",61759,174,53,32,40,-31
"12/05/2019 00:00:00","EST","N.Y.C.",61761,2108,1668,861,27,-161
"12/05/2019 00:00:00","EST","NORTH",61755,118,383,0,0,-151
"12/05/2019 00:00:00","EST","WEST",61752,833,592,0,249,-72
"12/05/2019 01:00:00","EST","CAPITL",61757,840,208,0,42,-199
"12/05/2019 01:00:00","EST","CENTRL",61754,1019,1471,0,82,-1236
"12/05/2019 01:00:00","EST","DUNWOD",61760,133,196,157,48,-18
"12/05/2019 01:00:00","EST","GENESE",61753,678,222,0,7,-48
"12/05/2019 01:00:00","EST","HUD VL",61758,606,150,166,62,-107
"12/05/2019 01:00:00","EST","LONGIL",61762,289,1422,0,193,-43
"12/05/2019 01:00:00","EST","MHK VL",61756,417,206,0,19,-88
"12/05/2019 01:00:00","EST","MILLWD",61759,175,51,30,48,-39
"12/05/2019 01:00:00","EST","N.Y.C.",61761,2022,1674,737,40,-79
"12/05/2019 01:00:00","EST","NORTH",61755,114,388,0,0,-155
"12/05/2019 01:00:00","EST","WEST",61752,803,587,0,225,-71
"12/05/2019 02:00:00","EST","CAPITL",61757,823,208,0,54,-197
"12/05/2019 02:00:00","EST","CENTRL",61754,997,1469,0,93,-1231
"12/05/2019 02:00:00","EST","DUNWOD",61760,132,188,156,48,-21
"12/05/2019 02:00:00","EST","GENESE",61753,669,219,0,0,-40
"12/05/2019 02:00:00","EST","HUD VL",61758,590,148,162,49,-110
"12/05/2019 02:00:00","EST","LONGIL",61762,244,1420,0,213,-27
"12/05/2019 02:00:00","EST","MHK VL",61756,413,205,0,12,-102
"12/05/2019 02:00:00","EST","MILLWD",61759,164,49,30,59,-42
"12/05/2019 02:00:00","EST","N.Y.C.",61761,1973,1663,718,27,-156
"12/05/2019 02:00:00","EST","NORTH",61755,109,386,0,0,-160
"12/05/2019 02:00:00","EST","WEST",61752,793,585,0,209,-87
"12/05/2019 03:00:00","EST","CAPITL",61757,817,207,0,42,-201
"12/05/2019 03:00:00","EST","CENTRL",61754,999,1470,0,77,-1241
"12/05/2019 03:00:00","EST","DUNWOD",61760,131,188,148,40,-29
"12/05/2019 03:00:00","EST","GENESE",61753,667,221,0,14,-38
"12/05/2019 03:00:00","EST","HUD VL",61758,595,146,161,68,-114
"12/05/2019 03:00:00","EST","LONGIL",61762,226,1421,0,185,-27
"12/05/2019 03:00:00","EST","MHK VL",61756,411,205,0,14,-107
"12/05/2019 03:00:00","EST","MILLWD",61759,182,49,29,50,-24
"12/05/2019 03:00:00","EST","N.Y.C.",61761,1949,1694,634,27,-86
"12/05/2019 03:00:00","EST","NORTH",61755,112,387,0,2,-161
"12/05/2019 03:00:00","EST","WEST",61752,795,577,0,211,-91
"12/05/2019 04:00:00","EST","CAPITL",61757,843,210,0,24,-216
"12/05/2019 04:00:00","EST","CENTRL",61754,1026,1486,0,87,-1240
"12/05/2019 04:00:00","EST","DUNWOD",61760,132,189,151,40,-36
"12/05/2019 04:00:00","EST","GENESE",61753,690,228,0,0,-48
"12/05/2019 04:00:00","EST","HUD VL",61758,619,151,163,47,-121
"12/05/2019 04:00:00","EST","LONGIL",61762,264,1421,0,196,-59
"12/05/2019 04:00:00","EST","MHK VL",61756,432,208,0,8,-115
"12/05/2019 04:00:00","EST","MILLWD",61759,124,51,30,40,-53
"12/05/2019 04:00:00","EST","N.Y.C.",61761,2017,1637,659,27,-133
