"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"12/17/2019 00:00:00","EST","CAPITL",61757,944,212,0,116,-142
"12/17/2019 00:00:00","EST","CENTRL",61754,1118,1481,0,107,-1194
"12/17/2019 00:00:00","EST","DUNWOD",61760,144,205,171,5,-53
"12/17/2019 00:00:00","EST","GENESE",61753,740,223,0,23,-2
"12/17/2019 00:00:00","EST","HUD VL",61758,645,155,176,17,-214
"12/17/2019 00:00:00","EST","LONGIL",61762,769,1094,0,133,-71
"12/17/2019 00:00:00","EST","MHK VL",61756,483,210,0,32,-30
"12/17/2019 00:00:00","EST","MILLWD",61759,182,52,33,13,-76
"12/17/2019 00:00:00","EST","N.Y.C.",61761,2146,1600,890,90,-59
"12/17/2019 00:00:00","EST","NORTH",61755,119,390,0,24,-167
"12/17/2019 00:00:00","EST","WEST",61752,908,617,0,275,-26
"12/17/2019 01:00:00","EST","CAPITL",61757,910,211,0,120,-90
"12/17/2019 01:00:00","EST","CENTRL",61754,1072,1481,0,97,-1197
"12/17/2019 01:00:00","EST","DUNWOD",61760,135,195,159,8,-52
"12/17/2019 01:00:00","EST","GENESE",61753,710,219,0,133,0
"12/17/2019 01:00:00","EST","HUD VL",61758,624,153,166,0,-206
"12/17/2019 01:00:00","EST","LONGIL",61762,672,1093,0,202,-32
"12/17/2019 01:00:00","EST","MHK VL",61756,457,208,0,27,-30
"12/17/2019 01:00:00","EST","MILLWD",61759,185,50,30,4,-51
"12/17/2019 01:00:00","EST","N.Y.C.",61761,2051,1614,756,170,-11
"12/17/2019 01:00:00","EST","NORTH",61755,116,391,0,25,-176
"12/17/2019 01:00:00","EST","WEST",61752,864,614,0,263,-26
"12/17/2019 02:00:00","EST","CAPITL",61757,895,210,0,115,-95
"12/17/2019 02:00:00","EST","CENTRL",61754,1046,1477,0,109,-1191
"12/17/2019 02:00:00","EST","DUNWOD",61760,136,191,155,16,-49
"12/17/2019 02:00:00","EST","GENESE",61753,693,218,0,129,-6
"12/17/2019 02:00:00","EST","HUD VL",61758,611,152,162,0,-98
"12/17/2019 02:00:00","EST","LONGIL",61762,610,1090,0,249,-45
"12/17/2019 02:00:00","EST","MHK VL",61756,453,205,0,16,-30
"12/17/2019 02:00:00","EST","MILLWD",61759,171,48,30,12,-68
"12/17/2019 02:00:00","EST","N.Y.C.",61761,2003,1608,713,162,0
"12/17/2019 02:00:00","EST","NORTH",61755,116,389,0,39,-170
"12/17/2019 02:00:00","EST","WEST",61752,848,610,0,228,-88
"12/17/2019 03:00:00","EST","CAPITL",61757,898,210,0,107,-92
"12/17/2019 03:00:00","EST","CENTRL",61754,1051,1482,0,113,-1190
"12/17/2019 03:00:00","EST","DUNWOD",61760,131,189,149,16,-54
"12/17/2019 03:00:00","EST","GENESE",61753,699,221,0,116,-2
"12/17/2019 03:00:00","EST","HUD VL",61758,614,151,161,0,-193
"12/17/2019 03:00:00","EST","LONGIL",61762,593,1091,0,329,-29
"12/17/2019 03:00:00","EST","MHK VL",61756,459,207,0,46,-30
"12/17/2019 03:00:00","EST","MILLWD",61759,189,48,29,12,-45
"12/17/2019 03:00:00","EST","N.Y.C.",61761,1972,1632,648,159,-7
"12/17/2019 03:00:00","EST","NORTH",61755,115,395,0,41,-166
"12/17/2019 03:00:00","EST","WEST",61752,848,603,0,213,-88
"12/17/2019 04:00:00","EST","CAPITL",61757,921,213,0,68,-125
"12/17/2019 04:00:00","EST","CENTRL",61754,1079,1494,0,95,-1198
"12/17/2019 04:00:00","EST","DUNWOD",61760,134,189,152,21,-53
"12/17/2019 04:00:00","EST","GENESE",61753,712,227,0,96,0
"12/17/2019 04:00:00","EST","HUD VL",61758,626,151,162,6,-192
"12/17/2019 04:00:00","EST","LONGIL",61762,627,1091,0,191,-67
"12/17/2019 04:00:00","EST","MHK VL",61756,484,208,0,26,-38
"12/17/2019 04:00:00","EST","MILLWD",61759,130,50,30,9,-82
"12/17/2019 04:00:00","EST","N.Y.C.",61761,2030,1592,675,139,-8
"12/17/2019 04:00:00","EST","NORTH",61755,118,393,0,29,-178
"12/17/2019 04:00:00","EST","WEST",61752,866,616,0,213,-88
"12/17/2019 05:00:00","EST","CAPITL",61757,1070,137,0,68,-158
"12/17/2019 05:00:00","EST","CENTRL",61754,1134,1470,0,110,-1153
"12/17/2019 05:00:00","EST","DUNWOD",61760,141,201,164,13,-61
"12/17/2019 05:00:00","EST","GENESE",61753,765,242,0,25,-25
"12/17/2019 05:00:00","EST","HUD VL",61758,658,156,173,18,-156
"12/17/2019 05:00:00","EST","LONGIL",61762,771,1072,0,183,-84
"12/17/2019 05:00:00","EST","MHK VL",61756,528,227,0,37,-44
"12/17/2019 05:00:00","EST","MILLWD",61759,117,53,33,5,-111
"12/17/2019 05:00:00","EST","N.Y.C.",61761,2154,1618,750,65,-74
"12/17/2019 05:00:00","EST","NORTH",61755,134,402,0,49,-181
"12/17/2019 05:00:00","EST","WEST",61752,918,639,0,229,-93
"12/17/2019 06:00:00","EST","CAPITL",61757,1283,48,0,82,-50
"12/17/2019 06:00:00","EST","CENTRL",61754,1281,1463,0,124,-1104
"12/17/2019 06:00:00","EST","DUNWOD",61760,223,152,190,8,-128
"12/17/2019 06:00:00","EST","GENESE",61753,853,263,0,69,-58
"12/17/2019 06:00:00","EST","HUD VL",61758,695,168,191,22,-114
"12/17/2019 06:00:00","EST","LONGIL",61762,1032,1054,0,306,-187
"12/17/2019 06:00:00","EST","MHK VL",61756,601,243,0,29,-47
"12/17/2019 06:00:00","EST","MILLWD",61759,173,57,37,0,-95
"12/17/2019 06:00:00","EST","N.Y.C.",61761,2344,1723,917,143,-150
"12/17/2019 06:00:00","EST","NORTH",61755,149,408,0,15,-204
"12/17/2019 06:00:00","EST","WEST",61752,1017,676,0,255,-98
"12/17/2019 07:00:00","EST","CAPITL",61757,1386,48,0,93,-118
"12/17/2019 07:00:00","EST","CENTRL",61754,1349,1490,0,111,-1158
"12/17/2019 07:00:00","EST","DUNWOD",61760,321,99,211,10,-116
"12/17/2019 07:00:00","EST","GENESE",61753,929,274,0,59,-64
"12/17/2019 07:00:00","EST","HUD VL",61758,732,179,201,48,-151
"12/17/2019 07:00:00","EST","LONGIL",61762,1204,1058,0,322,-141
"12/17/2019 07:00:00","EST","MHK VL",61756,633,260,0,101,-64
"12/17/2019 07:00:00","EST","MILLWD",61759,234,61,40,8,-62
"12/17/2019 07:00:00","EST","N.Y.C.",61761,2614,1844,1067,113,-60
"12/17/2019 07:00:00","EST","NORTH",61755,152,420,0,15,-170
"12/17/2019 07:00:00","EST","WEST",61752,1085,691,0,338,-41
"12/17/2019 08:00:00","EST","CAPITL",61757,1410,48,0,93,-92
"12/17/2019 08:00:00","EST","CENTRL",61754,1332,1523,0,126,-1096
