"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"07/27/2019 00:00:00","EDT","CAPITL",61757,1124,153,0,49,-58
"07/27/2019 00:00:00","EDT","CENTRL",61754,1131,1421,0,89,-1153
"07/27/2019 00:00:00","EDT","DUNWOD",61760,179,266,246,21,-62
"07/27/2019 00:00:00","EDT","GENESE",61753,804,216,0,7,-68
"07/27/2019 00:00:00","EDT","HUD VL",61758,733,152,223,29,-182
"07/27/2019 00:00:00","EDT","LONGIL",61762,1090,1447,0,70,-126
"07/27/2019 00:00:00","EDT","MHK VL",61756,450,191,0,11,-46
"07/27/2019 00:00:00","EDT","MILLWD",61759,176,61,41,19,-62
"07/27/2019 00:00:00","EDT","N.Y.C.",61761,2617,1610,1985,88,-71
"07/27/2019 00:00:00","EDT","NORTH",61755,80,349,0,8,-160
"07/27/2019 00:00:00","EDT","WEST",61752,978,598,0,167,-32
"07/27/2019 01:00:00","EDT","CAPITL",61757,1014,190,0,23,-32
"07/27/2019 01:00:00","EDT","CENTRL",61754,1080,1407,0,86,-1163
"07/27/2019 01:00:00","EDT","DUNWOD",61760,173,253,226,9,-55
"07/27/2019 01:00:00","EDT","GENESE",61753,751,211,0,8,-73
"07/27/2019 01:00:00","EDT","HUD VL",61758,698,141,204,15,-135
"07/27/2019 01:00:00","EDT","LONGIL",61762,885,1446,0,64,-40
"07/27/2019 01:00:00","EDT","MHK VL",61756,423,186,0,5,-60
"07/27/2019 01:00:00","EDT","MILLWD",61759,169,58,38,5,-59
"07/27/2019 01:00:00","EDT","N.Y.C.",61761,2504,1605,1802,89,-25
"07/27/2019 01:00:00","EDT","NORTH",61755,78,346,0,2,-152
"07/27/2019 01:00:00","EDT","WEST",61752,920,593,0,168,-39
"07/27/2019 02:00:00","EDT","CAPITL",61757,959,185,0,16,-61
"07/27/2019 02:00:00","EDT","CENTRL",61754,1006,1401,0,95,-1166
"07/27/2019 02:00:00","EDT","DUNWOD",61760,169,241,215,5,-56
"07/27/2019 02:00:00","EDT","GENESE",61753,716,204,0,7,-75
"07/27/2019 02:00:00","EDT","HUD VL",61758,665,137,192,18,-147
"07/27/2019 02:00:00","EDT","LONGIL",61762,764,1441,0,64,-25
"07/27/2019 02:00:00","EDT","MHK VL",61756,392,184,0,7,-54
"07/27/2019 02:00:00","EDT","MILLWD",61759,162,54,36,5,-59
"07/27/2019 02:00:00","EDT","N.Y.C.",61761,2409,1596,1696,34,-42
"07/27/2019 02:00:00","EDT","NORTH",61755,74,341,0,0,-151
"07/27/2019 02:00:00","EDT","WEST",61752,871,589,0,152,-41
"07/27/2019 03:00:00","EDT","CAPITL",61757,935,188,0,23,-30
"07/27/2019 03:00:00","EDT","CENTRL",61754,989,1399,0,86,-1178
"07/27/2019 03:00:00","EDT","DUNWOD",61760,163,231,204,7,-55
"07/27/2019 03:00:00","EDT","GENESE",61753,695,201,0,5,-86
"07/27/2019 03:00:00","EDT","HUD VL",61758,639,134,183,24,-132
"07/27/2019 03:00:00","EDT","LONGIL",61762,690,1441,0,69,-24
"07/27/2019 03:00:00","EDT","MHK VL",61756,379,181,0,7,-63
"07/27/2019 03:00:00","EDT","MILLWD",61759,160,53,34,7,-57
"07/27/2019 03:00:00","EDT","N.Y.C.",61761,2347,1612,1600,39,-41
"07/27/2019 03:00:00","EDT","NORTH",61755,72,340,0,0,-165
"07/27/2019 03:00:00","EDT","WEST",61752,835,588,0,147,-41
"07/27/2019 04:00:00","EDT","CAPITL",61757,920,188,0,21,-54
"07/27/2019 04:00:00","EDT","CENTRL",61754,979,1403,0,110,-1181
"07/27/2019 04:00:00","EDT","DUNWOD",61760,156,227,199,22,-55
"07/27/2019 04:00:00","EDT","GENESE",61753,688,202,0,5,-88
"07/27/2019 04:00:00","EDT","HUD VL",61758,627,134,178,24,-108
"07/27/2019 04:00:00","EDT","LONGIL",61762,652,1440,0,71,-24
