"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"10/19/2019 00:00:00","EDT","CAPITL",61757,823,186,0,96,-6
"10/19/2019 00:00:00","EDT","CENTRL",61754,898,1446,0,37,-1258
"10/19/2019 00:00:00","EDT","DUNWOD",61760,112,183,130,176,-11
"10/19/2019 00:00:00","EDT","GENESE",61753,609,186,0,11,-71
"10/19/2019 00:00:00","EDT","HUD VL",61758,546,137,143,20,-63
"10/19/2019 00:00:00","EDT","LONGIL",61762,777,794,0,236,-83
"10/19/2019 00:00:00","EDT","MHK VL",61756,364,176,0,2,-41
"10/19/2019 00:00:00","EDT","MILLWD",61759,131,45,27,20,-49
"10/19/2019 00:00:00","EDT","N.Y.C.",61761,1699,1380,1069,84,-92
"10/19/2019 00:00:00","EDT","NORTH",61755,73,358,0,21,-160
"10/19/2019 00:00:00","EDT","WEST",61752,768,542,0,193,-1
"10/19/2019 01:00:00","EDT","CAPITL",61757,796,182,0,124,0
"10/19/2019 01:00:00","EDT","CENTRL",61754,852,1441,0,35,-1260
"10/19/2019 01:00:00","EDT","DUNWOD",61760,112,174,118,141,-11
"10/19/2019 01:00:00","EDT","GENESE",61753,583,182,0,10,-52
"10/19/2019 01:00:00","EDT","HUD VL",61758,524,133,136,28,-54
"10/19/2019 01:00:00","EDT","LONGIL",61762,698,793,0,202,-78
"10/19/2019 01:00:00","EDT","MHK VL",61756,358,175,0,9,-42
"10/19/2019 01:00:00","EDT","MILLWD",61759,131,43,24,25,0
"10/19/2019 01:00:00","EDT","N.Y.C.",61761,1609,1361,945,74,-110
"10/19/2019 01:00:00","EDT","NORTH",61755,71,358,0,4,-130
"10/19/2019 01:00:00","EDT","WEST",61752,740,539,0,205,-36
"10/19/2019 02:00:00","EDT","CAPITL",61757,765,185,0,110,0
"10/19/2019 02:00:00","EDT","CENTRL",61754,825,1434,0,31,-1264
"10/19/2019 02:00:00","EDT","DUNWOD",61760,108,166,115,180,-14
"10/19/2019 02:00:00","EDT","GENESE",61753,565,178,0,18,-38
"10/19/2019 02:00:00","EDT","HUD VL",61758,509,131,131,5,-83
"10/19/2019 02:00:00","EDT","LONGIL",61762,648,792,0,152,-78
"10/19/2019 02:00:00","EDT","MHK VL",61756,343,170,0,10,-137
"10/19/2019 02:00:00","EDT","MILLWD",61759,119,41,24,5,-6
"10/19/2019 02:00:00","EDT","N.Y.C.",61761,1544,1354,898,74,-105
"10/19/2019 02:00:00","EDT","NORTH",61755,70,356,0,3,-127
"10/19/2019 02:00:00","EDT","WEST",61752,711,537,0,204,-22
"10/19/2019 03:00:00","EDT","CAPITL",61757,752,185,0,111,-6
"10/19/2019 03:00:00","EDT","CENTRL",61754,824,1434,0,30,-1273
"10/19/2019 03:00:00","EDT","DUNWOD",61760,105,160,109,180,-20
"10/19/2019 03:00:00","EDT","GENESE",61753,558,178,0,0,-68
"10/19/2019 03:00:00","EDT","HUD VL",61758,505,128,130,5,-64
"10/19/2019 03:00:00","EDT","LONGIL",61762,617,790,0,152,-68
"10/19/2019 03:00:00","EDT","MHK VL",61756,338,172,0,17,-146
"10/19/2019 03:00:00","EDT","MILLWD",61759,126,41,23,5,-50
"10/19/2019 03:00:00","EDT","N.Y.C.",61761,1519,1356,842,63,-105
"10/19/2019 03:00:00","EDT","NORTH",61755,70,357,0,3,-128
"10/19/2019 03:00:00","EDT","WEST",61752,701,539,0,237,-17
"10/19/2019 04:00:00","EDT","CAPITL",61757,747,184,0,106,-12
"10/19/2019 04:00:00","EDT","CENTRL",61754,827,1437,0,60,-1264
"10/19/2019 04:00:00","EDT","DUNWOD",61760,105,158,107,205,-25
"10/19/2019 04:00:00","EDT","GENESE",61753,563,178,0,20,-71
"10/19/2019 04:00:00","EDT","HUD VL",61758,508,128,130,5,-65
