"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"12/11/2019 00:00:00","EST","CAPITL",61757,864,209,0,77,-171
"12/11/2019 00:00:00","EST","CENTRL",61754,1100,1484,0,96,-1198
"12/11/2019 00:00:00","EST","DUNWOD",61760,134,200,156,10,-75
"12/11/2019 00:00:00","EST","GENESE",61753,721,224,0,28,-70
"12/11/2019 00:00:00","EST","HUD VL",61758,594,155,167,140,-177
"12/11/2019 00:00:00","EST","LONGIL",61762,320,1423,0,88,-131
"12/11/2019 00:00:00","EST","MHK VL",61756,458,207,0,16,-73
"12/11/2019 00:00:00","EST","MILLWD",61759,167,49,31,18,-73
"12/11/2019 00:00:00","EST","N.Y.C.",61761,2066,1655,759,183,-95
"12/11/2019 00:00:00","EST","NORTH",61755,119,397,0,43,-225
"12/11/2019 00:00:00","EST","WEST",61752,890,608,0,198,-69
"12/11/2019 01:00:00","EST","CAPITL",61757,839,206,0,58,-102
"12/11/2019 01:00:00","EST","CENTRL",61754,1056,1483,0,105,-1199
"12/11/2019 01:00:00","EST","DUNWOD",61760,131,193,144,16,-62
"12/11/2019 01:00:00","EST","GENESE",61753,695,225,0,34,-67
"12/11/2019 01:00:00","EST","HUD VL",61758,572,152,159,116,-149
"12/11/2019 01:00:00","EST","LONGIL",61762,236,1423,0,86,-85
"12/11/2019 01:00:00","EST","MHK VL",61756,440,209,0,20,-73
"12/11/2019 01:00:00","EST","MILLWD",61759,168,49,29,16,-50
"12/11/2019 01:00:00","EST","N.Y.C.",61761,1986,1665,639,42,-49
"12/11/2019 01:00:00","EST","NORTH",61755,115,399,0,0,-214
"12/11/2019 01:00:00","EST","WEST",61752,858,605,0,226,-69
"12/11/2019 02:00:00","EST","CAPITL",61757,827,206,0,61,-175
"12/11/2019 02:00:00","EST","CENTRL",61754,1025,1477,0,122,-1200
"12/11/2019 02:00:00","EST","DUNWOD",61760,130,188,142,24,-58
"12/11/2019 02:00:00","EST","GENESE",61753,685,221,0,38,-66
"12/11/2019 02:00:00","EST","HUD VL",61758,567,151,155,19,-152
"12/11/2019 02:00:00","EST","LONGIL",61762,186,1421,0,95,-42
"12/11/2019 02:00:00","EST","MHK VL",61756,439,210,0,24,-72
"12/11/2019 02:00:00","EST","MILLWD",61759,159,46,29,39,-53
"12/11/2019 02:00:00","EST","N.Y.C.",61761,1944,1651,612,189,-54
"12/11/2019 02:00:00","EST","NORTH",61755,114,397,0,47,-274
"12/11/2019 02:00:00","EST","WEST",61752,843,608,0,205,-68
"12/11/2019 03:00:00","EST","CAPITL",61757,835,208,0,57,-124
"12/11/2019 03:00:00","EST","CENTRL",61754,1043,1477,0,113,-1199
"12/11/2019 03:00:00","EST","DUNWOD",61760,129,187,137,23,-65
"12/11/2019 03:00:00","EST","GENESE",61753,687,226,0,36,-80
"12/11/2019 03:00:00","EST","HUD VL",61758,566,149,154,45,-159
"12/11/2019 03:00:00","EST","LONGIL",61762,178,1422,0,111,-52
"12/11/2019 03:00:00","EST","MHK VL",61756,440,207,0,29,-73
"12/11/2019 03:00:00","EST","MILLWD",61759,174,49,28,23,-60
"12/11/2019 03:00:00","EST","N.Y.C.",61761,1918,1679,546,46,-53
"12/11/2019 03:00:00","EST","NORTH",61755,117,402,0,50,-275
"12/11/2019 03:00:00","EST","WEST",61752,843,598,0,151,-66
"12/11/2019 04:00:00","EST","CAPITL",61757,871,212,0,45,-122
"12/11/2019 04:00:00","EST","CENTRL",61754,1069,1488,0,115,-1205
"12/11/2019 04:00:00","EST","DUNWOD",61760,132,185,142,12,-63
"12/11/2019 04:00:00","EST","GENESE",61753,705,227,0,30,-129
"12/11/2019 04:00:00","EST","HUD VL",61758,590,151,156,42,-151
"12/11/2019 04:00:00","EST","LONGIL",61762,230,1422,0,95,-90
"12/11/2019 04:00:00","EST","MHK VL",61756,470,210,0,23,-79
"12/11/2019 04:00:00","EST","MILLWD",61759,121,50,29,12,-52
"12/11/2019 04:00:00","EST","N.Y.C.",61761,1979,1632,581,35,-89
"12/11/2019 04:00:00","EST","NORTH",61755,121,401,0,10,-215
"12/11/2019 04:00:00","EST","WEST",61752,859,618,0,268,-67
"12/11/2019 05:00:00","EST","CAPITL",61757,973,191,0,151,-194
"12/11/2019 05:00:00","EST","CENTRL",61754,1130,1517,0,104,-1208
"12/11/2019 05:00:00","EST","DUNWOD",61760,138,199,153,10,-106
"12/11/2019 05:00:00","EST","GENESE",61753,759,245,0,34,-146
"12/11/2019 05:00:00","EST","HUD VL",61758,628,154,166,240,-218
"12/11/2019 05:00:00","EST","LONGIL",61762,375,1425,0,85,-118
"12/11/2019 05:00:00","EST","MHK VL",61756,513,225,0,16,-119
"12/11/2019 05:00:00","EST","MILLWD",61759,110,54,31,18,-103
"12/11/2019 05:00:00","EST","N.Y.C.",61761,2096,1685,665,63,-119
"12/11/2019 05:00:00","EST","NORTH",61755,136,411,0,12,-173
"12/11/2019 05:00:00","EST","WEST",61752,907,637,0,347,-68
"12/11/2019 06:00:00","EST","CAPITL",61757,1212,80,0,119,-130
"12/11/2019 06:00:00","EST","CENTRL",61754,1262,1560,0,160,-1200
"12/11/2019 06:00:00","EST","DUNWOD",61760,152,220,180,85,-145
"12/11/2019 06:00:00","EST","GENESE",61753,850,268,0,94,-110
"12/11/2019 06:00:00","EST","HUD VL",61758,700,170,186,247,-111
"12/11/2019 06:00:00","EST","LONGIL",61762,618,1428,0,94,-250
"12/11/2019 06:00:00","EST","MHK VL",61756,588,245,0,33,-84
"12/11/2019 06:00:00","EST","MILLWD",61759,160,57,37,20,-112
"12/11/2019 06:00:00","EST","N.Y.C.",61761,2289,1790,845,179,-112
"12/11/2019 06:00:00","EST","NORTH",61755,147,417,0,37,-232
"12/11/2019 06:00:00","EST","WEST",61752,1007,667,0,505,-65
"12/11/2019 07:00:00","EST","CAPITL",61757,1295,49,0,99,-97
"12/11/2019 07:00:00","EST","CENTRL",61754,1330,1588,0,127,-1192
"12/11/2019 07:00:00","EST","DUNWOD",61760,221,199,200,146,-147
"12/11/2019 07:00:00","EST","GENESE",61753,917,277,0,42,-103
"12/11/2019 07:00:00","EST","HUD VL",61758,744,177,198,69,-232
"12/11/2019 07:00:00","EST","LONGIL",61762,799,1432,0,129,-172
"12/11/2019 07:00:00","EST","MHK VL",61756,613,259,0,107,-65
"12/11/2019 07:00:00","EST","MILLWD",61759,214,67,39,23,-113
"12/11/2019 07:00:00","EST","N.Y.C.",61761,2577,1924,999,237,-114
"12/11/2019 07:00:00","EST","NORTH",61755,158,429,0,39,-174
"12/11/2019 07:00:00","EST","WEST",61752,1068,688,0,606,-60
"12/11/2019 08:00:00","EST","CAPITL",61757,1321,50,0,57,-89
"12/11/2019 08:00:00","EST","CENTRL",61754,1294,1623,0,129,-1194
"12/11/2019 08:00:00","EST","DUNWOD",61760,296,159,204,132,-150
"12/11/2019 08:00:00","EST","GENESE",61753,903,306,0,46,-102
"12/11/2019 08:00:00","EST","HUD VL",61758,771,186,201,167,-214
"12/11/2019 08:00:00","EST","LONGIL",61762,815,1447,0,138,-170
"12/11/2019 08:00:00","EST","MHK VL",61756,604,274,0,102,-74
"12/11/2019 08:00:00","EST","MILLWD",61759,229,67,39,31,-94
"12/11/2019 08:00:00","EST","N.Y.C.",61761,2762,2048,1085,196,-95
"12/11/2019 08:00:00","EST","NORTH",61755,158,432,0,17,-176
"12/11/2019 08:00:00","EST","WEST",61752,1007,796,0,614,-75
"12/11/2019 09:00:00","EST","CAPITL",61757,1337,51,0,40,-115
"12/11/2019 09:00:00","EST","CENTRL",61754,1296,1627,0,108,-1187
"12/11/2019 09:00:00","EST","DUNWOD",61760,330,126,206,126,-149
"12/11/2019 09:00:00","EST","GENESE",61753,929,293,0,30,-105
"12/11/2019 09:00:00","EST","HUD VL",61758,773,191,203,181,-235
"12/11/2019 09:00:00","EST","LONGIL",61762,800,1449,0,151,-179
"12/11/2019 09:00:00","EST","MHK VL",61756,591,276,0,98,-63
"12/11/2019 09:00:00","EST","MILLWD",61759,229,65,38,29,-91
"12/11/2019 09:00:00","EST","N.Y.C.",61761,2913,1956,1176,157,-173
"12/11/2019 09:00:00","EST","NORTH",61755,157,434,0,26,-230
"12/11/2019 09:00:00","EST","WEST",61752,1073,759,0,604,-60
"12/11/2019 10:00:00","EST","CAPITL",61757,1344,55,0,45,-100
"12/11/2019 10:00:00","EST","CENTRL",61754,1283,1621,0,106,-1217
"12/11/2019 10:00:00","EST","DUNWOD",61760,358,94,216,128,-167
"12/11/2019 10:00:00","EST","GENESE",61753,927,292,0,27,-125
"12/11/2019 10:00:00","EST","HUD VL",61758,771,193,203,194,-327
"12/11/2019 10:00:00","EST","LONGIL",61762,770,1447,0,278,-117
"12/11/2019 10:00:00","EST","MHK VL",61756,587,282,0,96,-81
"12/11/2019 10:00:00","EST","MILLWD",61759,224,64,39,40,-100
"12/11/2019 10:00:00","EST","N.Y.C.",61761,2981,1868,1301,180,-101
"12/11/2019 10:00:00","EST","NORTH",61755,150,432,0,18,-285
"12/11/2019 10:00:00","EST","WEST",61752,1075,771,0,645,-62
"12/11/2019 11:00:00","EST","CAPITL",61757,1327,54,0,115,-118
"12/11/2019 11:00:00","EST","CENTRL",61754,1281,1618,0,111,-1204
"12/11/2019 11:00:00","EST","DUNWOD",61760,358,94,218,37,-146
"12/11/2019 11:00:00","EST","GENESE",61753,929,289,0,41,-89
"12/11/2019 11:00:00","EST","HUD VL",61758,765,194,202,186,-305
"12/11/2019 11:00:00","EST","LONGIL",61762,708,1446,0,328,-116
"12/11/2019 11:00:00","EST","MHK VL",61756,578,280,0,97,-107
"12/11/2019 11:00:00","EST","MILLWD",61759,203,63,40,36,-84
"12/11/2019 11:00:00","EST","N.Y.C.",61761,3017,1807,1376,173,-98
"12/11/2019 11:00:00","EST","NORTH",61755,153,428,0,15,-254
"12/11/2019 11:00:00","EST","WEST",61752,1065,780,0,630,-74
"12/11/2019 12:00:00","EST","CAPITL",61757,1319,53,0,159,-127
"12/11/2019 12:00:00","EST","CENTRL",61754,1272,1617,0,91,-1237
"12/11/2019 12:00:00","EST","DUNWOD",61760,335,115,219,32,-122
"12/11/2019 12:00:00","EST","GENESE",61753,923,290,0,29,-101
"12/11/2019 12:00:00","EST","HUD VL",61758,761,192,199,212,-285
"12/11/2019 12:00:00","EST","LONGIL",61762,658,1448,0,304,-117
"12/11/2019 12:00:00","EST","MHK VL",61756,566,276,0,86,-138
"12/11/2019 12:00:00","EST","MILLWD",61759,196,62,40,24,-69
"12/11/2019 12:00:00","EST","N.Y.C.",61761,3016,1781,1411,108,-92
"12/11/2019 12:00:00","EST","NORTH",61755,147,427,0,22,-225
"12/11/2019 12:00:00","EST","WEST",61752,1062,765,0,666,-114
"12/11/2019 13:00:00","EST","CAPITL",61757,1317,52,0,37,-183
"12/11/2019 13:00:00","EST","CENTRL",61754,1251,1618,0,89,-1237
"12/11/2019 13:00:00","EST","DUNWOD",61760,338,112,217,34,-113
"12/11/2019 13:00:00","EST","GENESE",61753,917,288,0,16,-85
"12/11/2019 13:00:00","EST","HUD VL",61758,761,193,197,178,-255
"12/11/2019 13:00:00","EST","LONGIL",61762,675,1451,0,276,-114
"12/11/2019 13:00:00","EST","MHK VL",61756,561,274,0,72,-166
"12/11/2019 13:00:00","EST","MILLWD",61759,188,61,39,35,-55
"12/11/2019 13:00:00","EST","N.Y.C.",61761,3029,1769,1399,83,-119
"12/11/2019 13:00:00","EST","NORTH",61755,149,425,0,22,-258
"12/11/2019 13:00:00","EST","WEST",61752,1064,755,0,543,-137
"12/11/2019 14:00:00","EST","CAPITL",61757,1310,53,0,42,-109
"12/11/2019 14:00:00","EST","CENTRL",61754,1253,1607,0,79,-1253
"12/11/2019 14:00:00","EST","DUNWOD",61760,316,136,217,27,-117
"12/11/2019 14:00:00","EST","GENESE",61753,919,284,0,16,-157
"12/11/2019 14:00:00","EST","HUD VL",61758,768,192,199,258,-272
"12/11/2019 14:00:00","EST","LONGIL",61762,718,1452,0,278,-135
"12/11/2019 14:00:00","EST","MHK VL",61756,561,270,0,74,-165
"12/11/2019 14:00:00","EST","MILLWD",61759,186,63,40,30,-50
"12/11/2019 14:00:00","EST","N.Y.C.",61761,3002,1742,1407,79,-195
"12/11/2019 14:00:00","EST","NORTH",61755,147,424,0,52,-336
"12/11/2019 14:00:00","EST","WEST",61752,1061,735,0,442,-147
"12/11/2019 15:00:00","EST","CAPITL",61757,1332,52,0,49,-105
"12/11/2019 15:00:00","EST","CENTRL",61754,1279,1597,0,89,-1242
"12/11/2019 15:00:00","EST","DUNWOD",61760,283,177,219,30,-109
"12/11/2019 15:00:00","EST","GENESE",61753,934,280,0,18,-142
"12/11/2019 15:00:00","EST","HUD VL",61758,788,188,205,193,-261
"12/11/2019 15:00:00","EST","LONGIL",61762,801,1455,0,305,-150
"12/11/2019 15:00:00","EST","MHK VL",61756,580,264,0,74,-174
"12/11/2019 15:00:00","EST","MILLWD",61759,183,62,41,33,-42
"12/11/2019 15:00:00","EST","N.Y.C.",61761,2983,1809,1375,70,-196
"12/11/2019 15:00:00","EST","NORTH",61755,149,424,0,32,-316
"12/11/2019 15:00:00","EST","WEST",61752,1072,725,0,409,-160
"12/11/2019 16:00:00","EST","CAPITL",61757,1429,52,0,114,-85
"12/11/2019 16:00:00","EST","CENTRL",61754,1382,1594,0,102,-1230
"12/11/2019 16:00:00","EST","DUNWOD",61760,276,199,236,45,-124
"12/11/2019 16:00:00","EST","GENESE",61753,991,277,0,16,-137
"12/11/2019 16:00:00","EST","HUD VL",61758,829,189,227,244,-290
"12/11/2019 16:00:00","EST","LONGIL",61762,1041,1455,0,240,-140
"12/11/2019 16:00:00","EST","MHK VL",61756,633,265,0,85,-197
"12/11/2019 16:00:00","EST","MILLWD",61759,206,66,45,28,-78
"12/11/2019 16:00:00","EST","N.Y.C.",61761,2960,1919,1428,110,-238
"12/11/2019 16:00:00","EST","NORTH",61755,160,428,0,31,-350
"12/11/2019 16:00:00","EST","WEST",61752,937,888,0,414,-167
"12/11/2019 17:00:00","EST","CAPITL",61757,1522,53,0,109,-83
"12/11/2019 17:00:00","EST","CENTRL",61754,1478,1591,0,177,-1237
